Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
7UP - 400 ml,7Up,4.65,,,,,,
Pepsi - 1.97 Liter,Pepsi cola,12.45,,,,,,
MIRINDA ORANGE 250ML,Mirinda,3.00,,,,,,
Safi Natural Water - 660 ml,Safi,1.70,,,,,,
Greenland Mango Juice - 1 Liter,Greenland,6.75,,,,,,
7Up - 250ml,7Up,3.00,,,,,,
Greenland Apple Juice - 200ml,Greenland,2.75,,,,,,
7Up Free - 0.97 Liter,7Up,8.35,,,,,,
"Safi Natural Water, 660 ml - Pack of 20",Safi,31.35,,,,,,
Greenland Orange Juice - 200ml,Greenland,2.75,,,,,,
PEPSI COLA 0.97L,Pepsi cola,8.35,,,,,,
7UP - 2.5 Liters,7Up,11.45,,,,,,
Frooti Pomegranate Juice - 1 Liter,,14.95,,,,,,
Beyti Red Grape Juice - 1 L,Beyti,10.25,,,,,,
Beyti Tropicana Pineapple Juice - 235ml,Beyti,3.70,,,,,,
Fayrouz Pineapple Malt Drink - 0.97 Liter...,Fayrouz,7.95,,,,,,
Mirinda Green Apple - 0.97 Liter,Mirinda,8.35,,,,,,
Mirinda Orange - 0.97 Liter,Mirinda,8.35,,,,,,
Pepsi Cola - 2.5 Liter,Pepsi cola,11.45,,,,,,
Mirinda Green Apple - 2.5 Liter,Mirinda,11.45,,,,,,
Fayrouz Peach Malt Drink - 0.97 Liter,Fayrouz,9.95,,,,,,
Tchibo Milano Espresso Coffee - 250 gm,Tchibo,71.95,,,,,,
Royal Ginger - 20 Bags,Royal,13.75,,,,,,
Isis Sekem Herbal Tea For Slimming - 50 Bags...,Isis,32.75,,,,,,
ALI TEA 3*1 WITH GINGER 20G,Ali tea,6.25,,,,,,
ALI TEA 3*1 WITH GINGER 20G*12,Ali tea,75.00,,,,,,
EL Arosa Green Tea - 25 Bags,El arosa tea,7.95,,,,,,
Lipton Tea - 50 Bags,Lipton,18.75,,,,,,
Lipton Tea - 100 Bags,Lipton,39.95,,,,,,
Abu Auf Plain Medium Coffee - 200gm,Abu auf,27.45,,,,,,
Sekem Premium Mint Green Tea - 25 Bags,Isis,20.95,,,,,,
"Twinings Lemon & Ginger Herbs, 37.5 gm - Pack of...",Twinings,61.95,,,,,,
EL Arosa Tea - 100 Bags,El arosa tea,21.75,,,,,,
Lipton Classic Green Tea - 25 Bags,Lipton,13.45,,,,,,
Corona Chocolate Powder - 77 gm,Corona,6.25,,,,,,
SEKEM GINGER&CINNAMON 25B,Isis,19.45,,,,,,
Cadbury 3in1 Hot Cocoa - 300 gm,Cadbury,36.25,,,,,,
Fayrouz Apple Malt Drink - 0.97 Liter,Fayrouz,9.75,,,,,,
Mirinda Orange - 2.5 Liters,Mirinda,11.45,,,,,,
Pepsi - 250 ml,Pepsi cola,3.00,,,,,,
Pepsi Diet - 400 ml,Pepsi cola,4.65,,,,,,
Fanta Mixed Berries - 1 Liter,Fanta,8.45,,,,,,
Greenland Mango Juice - 200ml,Greenland,2.75,,,,,,
Isis Chamomile Herbs - 12 Bags,Isis,8.45,,,,,,
Isis Herbs Chamomile - 20 Bags,Isis,16.25,,,,,,
El Arosa Tea - 25 Bags,El arosa tea,9.80,,,,,,
El Arosa Coarse Grain Tea - 250 gm,El arosa tea,25.95,,,,,,
El Arosa Coarse Grain Tea - 100 gm,El arosa tea,10.75,,,,,,
Isis Herbs Tilia - 20 Bags,Isis,16.25,,,,,,
Isis Tilia Herbs - 12 Bags,Isis,8.45,,,,,,
Isis Green Tea - 20 Bags,Isis,16.25,,,,,,
TWININGS EARL GRAY TEA CAN 200G,Twinings,172.95,,,,,,
Isis Hibiscus Herbs - 50 Bags,Isis,32.45,,,,,,
Isis Anise Herbs - 12 Bags,Isis,8.45,,,,,,
ElYemeni Light Turkish Coffee With Cardamom - 200gm...,Yemeni,51.95,,,,,,
