Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
MOUSSY MINT& LEMON MALT DRINK 330M,Moussy,15.75,موسى شراب شعير نعناع وليمون 330م,موسي,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/مشروبات الشعير,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1d/hc7/10066948653086/372032_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb4/hc3/10066948554782/372032_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc6/hc6/10066948620318/372032_main.jpg_146Wx146H"
Pepsi - 400 ml,Pepsi cola,4.70,بيبسى كول 400 م,بيبسي كولا,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/الكولا,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he4/ha8/10066935152670/392583_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7c/ha5/10066935054366/392583_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7a/ha8/10066935119902/392583_main.jpg_146Wx146H"
Tropicana Fruitz Apple Cocktail - 275 ml,Tropicana,4.75,تروبيكانا فروتز كوكتيل التفاح 275م,تروبيكانا,المشروبات/العصائر/عصائر طويلة الأمد/عصير فوار,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb6/h2b/10067190644766/410304_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4e/h28/10067190546462/410304_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5f/h2b/10067190611998/410304_main.jpg_146Wx146H"
Mirinda Green Apple - 250 ml,Mirinda,3.00,ميراندا تفاح اخضر 250 م,ميرندا,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2f/hae/10067911376926/457926_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h97/hb1/10067911278622/457926_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h86/hae/10067911344158/457926_main.jpg_146Wx146H"
Bashayer Cocktail Juice - 200ml,Bashaer,2.45,بشاير عصير كوكتيل 200م,بشائر,المشروبات/مشروبات الأطفال/عصائر الاطفال/رزمة تيترا للأطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4c/h58/10066877775902/383055_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb4/h5b/10066877677598/383055_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha3/h58/10066877743134/383055_main.jpg_146Wx146H"
SCHWEPPES LEMON MINT 1L,Schweppes,8.75,شويبس ليمون نعناع 1ل,شويبس&nbsp;,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h25/h71/10069136343070/489591_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8e/h74/10069136244766/489591_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7c/h71/10069136310302/489591_main.jpg_146Wx146H"
AL Rabaie Apple Juice - 330 ml,Al rabie,55.95,الربيع عصير مانجو 1لتر,الربيع,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h30/h2a/10066409717790/168254_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc8/h26/10066409619486/168254_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8a/h27/10066409685022/168254_main.jpg_146Wx146H"
Domty Apple Juice - 235 ml,Domty,2.95,دومتى عصير تفاح 235م,دومتي,المشروبات/مشروبات الأطفال/عصائر الاطفال/رزمة تيترا للأطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h69/h70/10066877055006/396553_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7d/hbb/10066876956702/396553_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc0/h70/10066877022238/396553_main.jpg_146Wx146H"
Lamar Apple Juice - 1 Liter,Lamar,21.25,لمار عصير تفاح 100% 1ل,لامار,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb2/hac/10066914508830/393669_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5d/ha9/10066914410526/393669_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0c/haa/10066914476062/393669_main.jpg_146Wx146H"
Domty Pineapple Juice - 1 Liter,Domty,12.45,دومتى عصير اناناس 1ل,دومتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h26/h1d/9792546537502/396558_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8e/h20/9792546439198/396558_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7d/h1d/9792546504734/396558_main.jpg_146Wx146H"
